排名,up主,视频链接,视频描述,三连量,播放量,排行分数,标签,标题,弹幕数
481,因为洗面奶,http://www.bilibili.com/video/av840684284,"芜湖好汉芜松回家探望哥哥，途中路过景阳冈。正是晌午时候，芜松走得肚中饥渴，望见前面有一家酒店，门前挑着一面旗，上头写着九个字∶“肉蛋葱鸡三碗不过冈。”芜松对肉蛋葱鸡早有耳闻，垂涎欲滴，尝后大喜，连吃十八碗。听闻店小二口中景阳冈猛虎王出没，芜松酒足饭饱，不以为然，准备继续赶路。傍晚酒力发作，准备傍一块青石入睡，忽然狂风呼啸，一条吊睛白额大虫飞扑而来...
芜松究竟能否见到哥哥芜大郎呢？请观看《芜松打虎》...",597,54195,54195,bilibili新星计划&&大司马&&武松打虎&&芜湖大司马&&搞笑&&水浒传&&可爱&&鬼畜调教&&自制&&马老师,景 阳 冈 芜 松 打 虎,260
482,平凡的144哒,http://www.bilibili.com/video/av370850313,音源：茶几君梦二,1850,54014,54014,bilibili新星计划&&鬼畜调教&&搞笑&&鬼畜&&特朗普&&川普&&没人比我更懂,【特朗普】?没有人 ?比我 ?更懂 ☝️鬼畜,219
483,ALONEWOLF-JOE,http://www.bilibili.com/video/av795516600,"纯手机剪辑，制作不易啊！这个系列是我最喜欢的，不希望它凉掉啊！
各位观众老爷能不能给个三连，实在不行给个免费的赞呗！感谢感谢
素材来源:larva爆笑虫子",150,53993,53993,百万剪辑师挑战&&鬼畜配音&&药水哥&&卢本伟&&PDD,【卢  本  虫】第  二  集,37
484,似梦如夕,http://www.bilibili.com/video/av540764965,国内首款，太智能，太好用了！我小孩用后都哭了三天了！等等，我好像女票都没有……,1681,53908,53908,bilibili新星计划&&粤语&&鬼畜调教&&搞笑&&广东&&粤知一二&&郭嘉峰&&鬼畜&&人工智能&&Q宝,【峰宝】国内首款内置郭嘉峰骚话语音包的人工智能,585
485,咆哮丶土拨鼠,http://www.bilibili.com/video/av838251217,准！备！捉！妖！！！！！！！,660,53847,53847,百万剪辑师挑战&&大威天龙&&法海&&青蛇&&洗脑&&搞笑&&赵文卓&&最强法海&&RAP&&希望没事,每天一遍，蛇妖再见,153
486,十代冥王,http://www.bilibili.com/video/av795694883,"在很久以前，人类在隔绝的环境里享受了很久的和平
直到那一天，超大型巨人的出现，打破了这里的安宁
他们是什么人？他们为什么会出现？
让我们一同来揭晓，巨人的秘密！
啊啊啊啊啊啊，这个视频从开始着手去做，差不多快3个月了
感谢大家这么耐心的等下去~~
做这种3d动画真的特别耗费精力！给缝合貓点大大的赞！@缝合貓
感谢黑枕小姐姐的配音！@黑枕Makura
大家喜欢的话，一定要点赞三连还有关注呀！
这个关系到这个系列要不要继续做下去...",1314,53547,53547,搞笑&&抽象&&黑手&&进击的巨人&&三日杀神&&鬼畜&&巨魔&&giao&&奥利给&&冬泳怪鸽,【进击的黑手】黑恶巨人登场！,231
487,position06,http://www.bilibili.com/video/av838340853,"最近这个梗好像挺火的。这个是一个模仿俄罗斯人吃东西的抖音博主，叫@新二的快乐生活。每天拍的吃播视频除了食物以外台词动作构图全部都一样。
其实一直想做比较带感的视频，正好有这个机会，做了一整天水了一个这个。
BGM：karate - r3hab/kshmr",1027,53013,53013,全能打卡挑战&&搞笑&&岛市老八&&电音&&r3hab&&小鸟伏特加&&哈了少&&奥利给&&zbc&&雷霆嘎巴,电⚡音⚡小⚡鸟⚡伏⚡特⚡加,146
488,桂秋酱,http://www.bilibili.com/video/av753102587,"第一集：BV1ut4y1m7ND
纯属娱乐
本集演员：花少北 lexburner
喜欢的话可以一键三连加关注 拜托啦这对我真的很重要！
（我配老蕾字幕的时候羞耻得跟中国拜看自己鬼畜一样
之后本系列应该会把阴阳怪气全员都安排上的 目前只是因为没戏份 大家不用急嗷 这么优秀的五个演员我怎么会漏!!",2664,52838,52838,鬼畜&&搞笑&&lex&&lexburner&&花少北,阴阳梦（二） 阴阳怪气家庭伦理不连续剧,693
489,你为何看我名字,http://www.bilibili.com/video/av925825660,QQ交流群797613380,921,52751,52751,老八&&奥利给&&岛市老八&&影流之主&&黑手&&冬泳怪鸽&&好活&&带制作&&整活&&公主连结Re:Dive,整 活 连 结,108
490,清澈小老弟,http://www.bilibili.com/video/av838358477,"这期应该是爆笑虫子的最后一期了，希望能逗大家一乐
这次一定？",507,52607,52607,全能打卡挑战&&卢本伟&&搞笑视频&&PDD&&爆笑虫子&&鬼畜调教&&旭旭宝宝,【爆笑虫子】吃马老师屁,115
